新老品标签,国家,PID,SPU,shop_name,二级类目,三级类目,店铺评分,首图 url,上架时间,商品卡日均占比,GPM分层,可用库存,销量排名,是否在联盟,商品详情页URL,营销价,,,
新老品,GB,1729786527223683233,S260326048732,Muse Plus,大码女装,女士下装,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/8a60cac3f1aa4f21815e8689428ea2a2~tplv-g9dfdl17fc-origin-image.image,2026-03-26,,高GPM,480,1,In Affiliate,https://shop.tiktok.com/view/product/1729786527223683233?region=GB&locale=en,$20.61,,,
新老品,GB,1729772694822164641,S260302025945,Muse Plus,大码女装,女士下装,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/3d133fc9cbd041c69dfe3d01ccc97190~tplv-g9dfdl17fc-origin-image.image,2026-03-02,,,695,2,In Affiliate,https://shop.tiktok.com/view/product/1729772694822164641?region=GB&locale=en,$19.26,,,
新老品,GB,1729785984773036193,S260325063827,Muse Plus,大码女装,女士上装,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/8b7911e7dc1449c3991af4300eda9202~tplv-g9dfdl17fc-origin-image.image,2026-03-25,,,468,3,In Affiliate,https://shop.tiktok.com/view/product/1729785984773036193?region=GB&locale=en,$19.26,,,
新老品,GB,1729807223712618657,S260423019715,Muse Plus,大码女装,女士连衣裙,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/9d0f2b992ddb41a9a2de06122236e0b1~tplv-g9dfdl17fc-origin-image.image,2026-04-30,,,249,4,In Affiliate,https://shop.tiktok.com/view/product/1729807223712618657?region=GB&locale=en,$22.90,,,
新老品,GB,1729773130257963169,S260303019953,Muse Plus,大码女装,女士连衣裙,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/b50e13cdf1744f7c93f93aa2aae6ec20~tplv-g9dfdl17fc-origin-image.image,2026-03-03,,,64,5,In Affiliate,https://shop.tiktok.com/view/product/1729773130257963169?region=GB&locale=en,$24.65,,,
新老品,GB,1729787617948375201,S260328030678,Muse Plus,大码女装,女士连衣裙,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/6643be37f1c94e35954beb194b9c3859~tplv-g9dfdl17fc-origin-image.image,2026-03-28,,,78,6,In Affiliate,https://shop.tiktok.com/view/product/1729787617948375201?region=GB&locale=en,$21.28,,,
新老品,GB,1729775457916524705,S260307034737,Muse Plus,大码女装,女士上装,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/aac4cbf52fe8449fb146f8b9c6dd90cd~tplv-g9dfdl17fc-origin-image.image,2026-03-07,,,210,7,In Affiliate,https://shop.tiktok.com/view/product/1729775457916524705?region=GB&locale=en,$14.14,,,
新老品,GB,1729795098599266465,S260409030522,Muse Plus,大码女装,女士上装,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/e8e4c4c08f7c47bc9041ea54c3aeaaa5~tplv-g9dfdl17fc-origin-image.image,2026-04-09,,,58,8,In Affiliate,https://shop.tiktok.com/view/product/1729795098599266465?region=GB&locale=en,$18.18,,,
新老品,GB,1729774982937090209,S260306056341,Muse Plus,大码女装,女士上装,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/0d2f981b03c840568548fea3217fc0ce~tplv-g9dfdl17fc-origin-image.image,2026-03-06,,,330,9,In Affiliate,https://shop.tiktok.com/view/product/1729774982937090209?region=GB&locale=en,$14.81,,,
新老品,GB,1729795922250930337,S260410037809,Muse Plus,大码女装,女士连衣裙,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/e7bb1dc96811426f9eb0f1bfcdbcf014~tplv-g9dfdl17fc-origin-image.image,2026-04-10,,,410,10,In Affiliate,https://shop.tiktok.com/view/product/1729795922250930337?region=GB&locale=en,$28.69,,,
新老品,GB,1729775280458602657,S260307011779,Muse Plus,大码女装,女士套装及西服,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/3348d0d69a5a401cb0e956297ad2c935~tplv-g9dfdl17fc-origin-image.image,2026-03-07,,高GPM,78,11,In Affiliate,https://shop.tiktok.com/view/product/1729775280458602657?region=GB&locale=en,$34.35,,,
新老品,GB,1729773075129735329,S260303017966,Muse Plus,大码女装,女士下装,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/de55a49bf7e64a86b6b57f8935808560~tplv-g9dfdl17fc-origin-image.image,2026-03-03,,,119,12,In Affiliate,https://shop.tiktok.com/view/product/1729773075129735329?region=GB&locale=en,$20.20,,,
新老品,GB,1729786556298664097,S260326055024,Muse Plus,大码女装,女士上装,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/08f84bb553e94e8e80365cd2d2296058~tplv-g9dfdl17fc-origin-image.image,2026-03-26,,,15,13,In Affiliate,https://shop.tiktok.com/view/product/1729786556298664097?region=GB&locale=en,$15.89,,,
新老品,GB,1729773777333557409,S260304041666,Muse Plus,大码女装,女士上装,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/7216021ba287499a8bf6e85ac6f7893a~tplv-g9dfdl17fc-origin-image.image,2026-03-04,,,118,14,In Affiliate,https://shop.tiktok.com/view/product/1729773777333557409?region=GB&locale=en,$21.28,,,
新老品,GB,1729801649130281121,S260417024686,Muse Plus,大码女装,女士上装,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/7312f674d9bc4747b3edd2cec7ebb3bd~tplv-g9dfdl17fc-origin-image.image,2026-04-22,,,28,15,In Affiliate,https://shop.tiktok.com/view/product/1729801649130281121?region=GB&locale=en,$19.93,,,
新老品,GB,1729836462157764769,S260526029866,Muse Plus,大码女装,女士连衣裙,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/59abe02b799b495bad5ee467bcdb82ce~tplv-g9dfdl17fc-origin-image.image,2026-05-26,内容场占比低,,143,16,In Affiliate,https://shop.tiktok.com/view/product/1729836462157764769?region=GB&locale=en,$23.98,,,
新老品,GB,1729798030123440289,S260413042852,Muse Plus,大码女装,女士上装,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/be0b1080a15e42c48f90366ec75c9f40~tplv-g9dfdl17fc-origin-image.image,2026-04-19,,高GPM,13,17,In Affiliate,https://shop.tiktok.com/view/product/1729798030123440289?region=GB&locale=en,$23.98,,,
新老品,GB,1729832168664963233,S260519006910,Muse Plus,大码女装,女士套装及西服,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/00a4e0e697cd480ab47b8b04c047b86d~tplv-g9dfdl17fc-origin-image.image,2026-05-19,,,235,18,In Affiliate,https://shop.tiktok.com/view/product/1729832168664963233?region=GB&locale=en,$39.75,,,
近45天新品,GB,1729853077644875937,S260613022819,Muse Plus,大码女装,连体衣,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/f9313055920443edaada63a023f29dd5~tplv-g9dfdl17fc-origin-image.image,2026-06-13,内容场占比低,,16,19,In Affiliate,https://shop.tiktok.com/view/product/1729853077644875937?region=GB&locale=en,$34.76,,,
